gene,mean_vcm3,mean_rest,log2fc,pval,fdr
ZDHHC20,0.29021046,0.28087917,0.04714966,0.3636387593768925,0.6899208979724986
B4GALT4,0.13676819,0.12647454,0.11288476,0.36370644977724387,0.6899098082915693
GGNBP2,0.30457142,0.30482724,-0.0012112856,0.3641493759108183,0.690610358761936
ENSG00000232682,0.12822133,0.11819197,0.117503405,0.36449553198598006,0.691127138458461
PDCD11,0.06973141,0.06692842,0.059188843,0.3646164603137545,0.6912167368485845
UBE2Z,0.09464135,0.08616211,0.13541555,0.36475024356920116,0.6913306636699486
ENSG00000266302,0.17235336,0.18281431,-0.0850091,0.3655682702113282,0.6927411656478856
RPL15,0.2003761,0.21370037,-0.09287858,0.36576469344523965,0.6929734155701208
XXYLT1,0.07734752,0.079425626,-0.038249016,0.36594465287893285,0.6931743858893898
AK3,0.39071858,0.41393012,-0.0832572,0.36629187349328807,0.6936920381740066
PCDHGA1,0.05165579,0.06207786,-0.26514387,0.36641317353217895,0.6937817142439764
CAPNS1,0.10103066,0.093940996,0.10496545,0.36642971638746014,0.6936730426043485
COPG1,0.08950324,0.08364227,0.09770656,0.36647567120726376,0.6936200821598848
ENSG00000225311,0.08763368,0.069067754,0.34346867,0.36692989798963227,0.6943397141869161
MRPL57,0.11154964,0.10760605,0.051926136,0.3670918125260333,0.6945060264406623
GARS1,0.076134734,0.07006913,0.11977434,0.3671617439304765,0.6944982825717199
MYLK,0.05033061,0.043017887,0.22649479,0.3674194575780505,0.6948456663973533
JTB,0.088641495,0.09173069,-0.049421787,0.3676993885361708,0.6952349180262705
CPOX,0.0547727,0.060551222,-0.14469671,0.3679002102603087,0.6954744655777184
C1orf131,0.11516166,0.109176904,0.076992035,0.3679370656973503,0.69540401901139
WDR73,0.2883707,0.26830178,0.104067564,0.3682633365123572,0.695880488048124
WDR27,0.089931294,0.10388598,-0.20810366,0.3682799313638494,0.6957717108448721
ZER1,0.3827753,0.3859922,-0.0120738745,0.36845697207485495,0.6959660382537325
SUGP1,0.11833443,0.10901548,0.11833596,0.3685750286357712,0.6960488966708545
