gene,mean_vcm3,mean_rest,log2fc,pval,fdr
NRSN2-AS1,0.31505314,0.3536407,-0.16668868,0.013894417306442829,0.06560514502720012
XKR6,0.3611182,0.3533384,0.03142047,0.013939944145580913,0.06578699998684111
RABEP1,0.63466763,0.58978546,0.10581088,0.013956899165570774,0.06583390043810207
CFAP44,0.08480272,0.11489457,-0.4381237,0.014011520806761407,0.06605833578343494
ZSWIM6,0.6831836,0.6656605,0.037486732,0.014135212001991467,0.06660801557141333
CCDC102B,0.09419271,0.121292934,-0.36480474,0.014182663341379204,0.06679806599840346
ZNF565,0.5031124,0.46692553,0.10768795,0.014280048471449574,0.06722298783699945
ECHDC1,0.31415355,0.29777455,0.07724917,0.014315669814086288,0.06735687773107199
TOP2B,0.37622088,0.41054013,-0.12594295,0.014366002834808631,0.06755981884520028
ZNF100,0.17735815,0.16725808,0.08458924,0.014469083041079127,0.0680104895247517
RALGAPA2,0.43808618,0.3970019,0.1420685,0.014477007147726343,0.06801366102151656
OSBPL3,0.08765341,0.120666005,-0.46113253,0.014514176300375435,0.06815415518024141
EPS15,0.8863546,0.8736503,0.020828068,0.014522122178765369,0.0681573538174971
SLC6A8,0.13862096,0.16313057,-0.23488021,0.014526724177054532,0.0681448631145628
ENSG00000257252,0.46076947,0.52135247,-0.17821354,0.01452742156168636,0.06811407750711716
THOC1,0.3028653,0.3230242,-0.09296572,0.01452993239079204,0.06809182102418128
ENSG00000276256,0.08499525,0.058986705,0.5269847,0.014557856247476665,0.0681886207258243
SPTLC3,0.033902626,0.059944738,-0.82221746,0.014571835910742716,0.06822004217294818
ULK1,0.28741005,0.3262324,-0.18278897,0.014582748263101382,0.06823707940369933
SUN1,0.436805,0.46251914,-0.082523465,0.014591567345109108,0.0682443094874445
NUTM2A-AS1,0.65621513,0.6128625,0.098605156,0.014644440176151371,0.06845746772927362
USP34,1.3397657,1.2789453,0.06702605,0.01474744158788302,0.06890462996888372
GALNT18,0.24853997,0.27794173,-0.161304,0.01488083020516356,0.06949325484561697
LYRM7,0.1447487,0.16948858,-0.2276361,0.014891376008706525,0.06950790533019136
RORB,0.10315049,0.13646573,-0.40378475,0.014916769915797948,0.06959181270512996
ICA1L,0.26787493,0.29794914,-0.15350592,0.014925195412180476,0.06959651260292109
ZCCHC17,0.33331704,0.30496502,0.12825084,0.014934482592548214,0.06960522388638218
MAP1B,0.3728385,0.3298786,0.17661512,0.014970679649347375,0.06973928325232227
BCL2L13,0.7961493,0.7617067,0.063803345,0.01500968125279944,0.06988626774876643
GCLC,0.23820941,0.20496522,0.21685028,0.01505049900238476,0.07004155835336003
GPC6,0.09349487,0.14905143,-0.67284536,0.015057119520519038,0.07003762783416441
SLC12A7,0.2627964,0.29023102,-0.14325559,0.015067487220359454,0.07005112244866818
ENSG00000255201,0.09166691,0.06714093,0.44920278,0.015088962571023577,0.07011621933697039
NDUFA1,0.17713171,0.19432652,-0.1336596,0.015090404834599126,0.07008820700901436
SIPA1L1,0.21646875,0.20912726,0.04977727,0.015101225682121997,0.07010376019280978
DLG3,0.08676466,0.105806306,-0.2862432,0.015114075287024856,0.07012871134662077
NLK,0.54550153,0.5277033,0.04785621,0.01514327529441421,0.07022946555224623
TSPAN5,0.20683399,0.17649905,0.22881174,0.015146169085438876,0.07020818100770135
CEBPB,0.23954213,0.21864317,0.13170052,0.015172380048280839,0.07029494795702262
WDR12,0.3044145,0.3377548,-0.14993858,0.015305495246703745,0.0708766813448048
FAM13B,0.99425125,0.92868465,0.09842157,0.01535185197674486,0.07105627787164297
DPYD-AS1,0.104495026,0.13430034,-0.36202574,0.015376176381883436,0.07113377061875266
MYL12-AS1,0.061948426,0.037895676,0.70901966,0.015429485940606495,0.07134521295947271
TMEM117,0.9704781,0.9865241,-0.023658596,0.015483105638198442,0.07155788034363438
FANCL,0.071872205,0.09156515,-0.34936047,0.015534817618462024,0.07176152579833123
HERC6,0.07837131,0.11017,-0.49132872,0.01557911473922114,0.07193073547410077
NINJ2,0.22396797,0.25443032,-0.18397748,0.015582081719168896,0.07190904608423147
OFD1,0.24807778,0.22907864,0.11494899,0.015595587756382309,0.07193599032958643
GRIP2,0.54286027,0.5127548,0.08231169,0.015599597023095014,0.07191912494873584
RIC3,0.58202094,0.54658806,0.09061694,0.015625158833061443,0.07200159143997173
BRWD1,0.69720936,0.7487168,-0.102827996,0.015648821417792485,0.07207522952465836
CRAT37,0.045527082,0.072023585,-0.6617327,0.01565567307419871,0.0720714056830875
GBX1,0.077782154,0.112872444,-0.5371764,0.01570221487549686,0.07225021086901008
TEX2,0.24098225,0.27027193,-0.16548419,0.015703111101708956,0.07221891586089874
ACBD3,0.26291302,0.24309182,0.11308384,0.01572807412766952,0.0722982809729522
PACS2,0.16991277,0.19998218,-0.23507595,0.015743937026701706,0.07233575768095758
FAM20A,0.24593763,0.2321228,0.083404064,0.015755918342750568,0.07235537243841694
ZNF345,0.17589428,0.19764338,-0.16819024,0.01577690494509488,0.07241630244367914
MFSD8,0.20341316,0.22649048,-0.15503669,0.015791910424841737,0.072449732814604
PHF21B,0.07191906,0.046772383,0.62070656,0.015803172770835466,0.07246596624436868
DLL1,0.038297866,0.06306545,-0.7195709,0.015807078699408977,0.07244846719973377
GGT7,0.45081136,0.42844018,0.07342994,0.015817749214419252,0.07246197418441476
PPA2,0.51513803,0.56610763,-0.1361171,0.01589624374422057,0.07278602186836379
PLEKHH3,0.086477175,0.111307584,-0.36415696,0.01589881074659112,0.07276226459732581
DTWD2,0.43187657,0.48291132,-0.16113877,0.01593145853043609,0.07287613063508112
DHX36,0.3471769,0.33319992,0.05928278,0.01595946760377933,0.0729686769291704
RANBP2,0.36722586,0.33174247,0.14660347,0.01601865564038736,0.0732036177389743
NR3C1,0.637531,0.60899895,0.066055596,0.016049083271095714,0.0733069616598929
PTPRM,2.3063838,2.3157449,-0.0058436394,0.01607208978299962,0.07337632425503769
ATP5F1A,0.41991475,0.46918893,-0.16007221,0.01614587494480495,0.07367733401369653
NAA16,0.3038609,0.3315323,-0.1257379,0.01616210774521772,0.07371555413983114
LPIN3,0.26154545,0.22530091,0.2152077,0.01620167772703624,0.07386012654764529
PPP2R2B,0.10986599,0.074840814,0.5538416,0.0162216483299712,0.07391525237095183
TMED5,0.30932087,0.2727926,0.18129897,0.016290481651830703,0.07419286352304642
PCMTD1,0.7561547,0.8131893,-0.10490969,0.01637227359754546,0.07452919499862762
CYBRD1,0.06462252,0.09274128,-0.52116776,0.016427053602977533,0.07474229723721397
AP4E1,0.24095197,0.21475656,0.1660428,0.01651178905438353,0.07509142264092404
ENSG00000236733,0.085669175,0.124157,-0.5353124,0.016530688570923244,0.07514094969593113
ABLIM3,0.3671677,0.33105063,0.14938688,0.01654428921864743,0.07516635421276038
SLC22A4,0.3652809,0.34195262,0.0952096,0.016551640782990217,0.07516335615973582
MT-ND3,0.33409292,0.36884972,-0.1427834,0.016635840189099756,0.07550916916020024
EPG5,0.30395874,0.33859336,-0.15567768,0.01670148329451594,0.07577046241254765
YME1L1,0.38801834,0.37590033,0.04577458,0.016707318712686,0.07576030167347513
RBM39,1.1014582,1.1083312,-0.008974329,0.01676577142248206,0.07598863163561675
ADCY6,0.71132296,0.6844749,0.055507034,0.016831864331087555,0.0762513525612088
QDPR,0.07395994,0.09201921,-0.31518722,0.016898345157678525,0.07651557638481657
UPP1,0.20205374,0.17279796,0.22565174,0.016898504478656706,0.07647938688796778
IBTK,0.6984238,0.6751547,0.04888457,0.016916037837010497,0.0765218259338633
CNTLN,0.09065225,0.11963994,-0.40028048,0.016950353689663657,0.07664010521273468
SIAH2,0.1741453,0.1424478,0.2898562,0.0169692134606125,0.0766884203696852
CTTNBP2NL,0.0927413,0.07331593,0.33908105,0.017028950678616196,0.07692133619007084
TMEM192,0.15373625,0.17211173,-0.1628871,0.017029111079720542,0.07688504338303087
CADPS2,0.20297512,0.2519393,-0.311772,0.017116888304004624,0.07724417800296843
PLPP7,0.3321228,0.39321363,-0.24359584,0.01711946650595957,0.07721867055716956
IPO5,0.15591785,0.12635843,0.303262,0.017128492896012537,0.0772222586979287
ZNF507,0.19533144,0.18464287,0.081186056,0.01714333102991643,0.07725203252770219
KLHDC1,0.23446226,0.26528886,-0.17820776,0.017149140325174547,0.07724111115256245
TTC39A,0.12302807,0.096372634,0.35228872,0.017150915732047318,0.07721204001826677
NDRG2,0.12579243,0.14929944,-0.2471621,0.01719066243314105,0.07735385848811957
CYFIP1,0.2228761,0.19813633,0.16974759,0.017213480489204167,0.07741940266045709
ENSG00000258455,0.16337657,0.14052533,0.21736932,0.017372809381973456,0.07809856139035695
NMT1,0.38000897,0.36917418,0.041731596,0.017376074413230008,0.07807582861346932
NAPA,0.18028934,0.17077327,0.07823157,0.017430680018345725,0.07828369551561494
MRPL42,0.21059342,0.22914086,-0.12177372,0.01750038070223487,0.07855912523845338
CARF,0.27060992,0.30246368,-0.16054666,0.017527835771882484,0.07864474185165063
TIPARP,0.16210996,0.19562791,-0.2711382,0.017571974329016367,0.07880509711034013
UBQLN1,0.3576057,0.326721,0.13031018,0.017625796582293286,0.07900870689683498
DENND4C,0.50470716,0.5361561,-0.08720642,0.017655245138160986,0.07910291780622081
PRSS23,0.08925218,0.116809435,-0.3881936,0.017713441426197324,0.0793257792174622
PLXNA2,0.12795675,0.09996852,0.35610723,0.017728058280097797,0.0793533601068118
ST6GAL1,0.54183,0.5686362,-0.06966549,0.017845039883622106,0.07983889565481288
P4HA3,0.16071948,0.14022279,0.19682264,0.01789942669210231,0.08004405206163197
PANK3,0.16386975,0.14535394,0.17297816,0.017948750879227388,0.08022638434917168
SLC25A34,0.052112587,0.0715886,-0.4580903,0.017978839871235136,0.08032260746282288
STXBP4,0.1959226,0.22719845,-0.21366811,0.018024983462486644,0.08049043067351246
ENSG00000249631,0.07033142,0.097506136,-0.471318,0.018025826461653564,0.08045590098155744
NCOR2,0.30461642,0.33824724,-0.15108395,0.01806160141331426,0.08057724415583185
FHIP1A,0.5049881,0.5404153,-0.09781897,0.018078497963832933,0.08061429082541853
CAB39L,0.15718728,0.19123901,-0.28289056,0.018094393342129346,0.08064684006454038
ENSG00000228222,0.084861755,0.11148163,-0.39361548,0.018108777359118262,0.08067262544313748
KLF13,0.20450227,0.23000169,-0.16952682,0.01811199397899128,0.08064866042282687
GFOD1,0.6729424,0.7113959,-0.08016956,0.01817405396391678,0.08088661019424441
YWHAG,0.4484678,0.3964841,0.17774093,0.018210596717532303,0.08101081953716836
TYW1,0.590741,0.5692368,0.0534966,0.01827892512841552,0.08127624433876512
MRPS9,0.3132201,0.34291726,-0.13068318,0.01829309592066402,0.08130072284588813
KAT6B,1.1029527,1.0816574,0.028127283,0.01832129533953063,0.08138749662664602
ORMDL1,0.26052076,0.252299,0.046263576,0.018347820360340064,0.08146675372489848
GOSR1,0.378337,0.36183015,0.06435919,0.018357925810961094,0.08147306525943092
TUBB6,0.2647088,0.2448528,0.11249113,0.018431894889511767,0.08176266565172548
AFG2A,0.2815097,0.32383877,-0.2020905,0.018508195157418115,0.08206232843426123
DOCK4,0.8038668,0.76943874,0.0631499,0.018572307008438132,0.08230769218382926
RPS6KL1,0.15936786,0.13272363,0.26393366,0.018586330291856894,0.08233094938536421
ATP9B,0.4996698,0.5428464,-0.119568825,0.018644947244865227,0.08255162579109276
SULT1A1,0.085633345,0.11341776,-0.4053979,0.0187887008227218,0.08314886373527165
IL1R1,0.069871746,0.04568492,0.6129801,0.018885952384863645,0.0835398421851913
CLTC,0.50010043,0.48200798,0.053160667,0.018947860549188386,0.08377418834707136
GRB14,0.18461162,0.22215827,-0.26709318,0.01901648245356031,0.08403798322152747
BRD10,0.45181176,0.48641342,-0.10646093,0.01909773215280655,0.08435730840754758
VSNL1,0.12394034,0.14484636,-0.22487593,0.01911352153172471,0.08438732188736058
EEF1A2,0.40961108,0.38410723,0.09274542,0.019140691743575057,0.0844675305447889
MYL6,0.49424323,0.45345357,0.12426603,0.019151000384317707,0.08447328895424012
CTNNBL1,0.19763795,0.22682254,-0.19870305,0.019171454282451674,0.08452377071332783
RPUSD4,0.12060237,0.0980381,0.298841,0.019212062823525677,0.08466302179911597
SECISBP2,0.4308362,0.40031955,0.10598719,0.019214558778565597,0.08463426782183212
GRM8,0.14875765,0.1639155,-0.13998747,0.01923453662404394,0.0846825070890569
SUCLG2-DT,0.30688334,0.33785596,-0.13871765,0.01931803289713774,0.08501021793665399
PYGB,0.6004717,0.56248176,0.09428972,0.01939321651702523,0.08530105830414005
USO1,0.86193424,0.89517075,-0.05458501,0.0194236134575831,0.0853947242076123
NDUFB6,0.16963442,0.19479375,-0.19951725,0.019480020706858284,0.08560260153243299
PLD3,0.30955374,0.3324931,-0.103134155,0.019510717163039697,0.08569735413091688
ERCC6L2-AS1,0.1942173,0.22570664,-0.21677613,0.01968358149881651,0.08641617296298386
ZFP14,0.14974381,0.16514577,-0.14124274,0.01973097443243173,0.08658372409966066
RSBN1L,0.4610967,0.4392356,0.0700742,0.019779198416592498,0.08675476369540477
ARRDC3-AS1,0.11265916,0.09221016,0.28896403,0.019892121461945036,0.08720929138129362
FGF2,0.067080155,0.042473003,0.6593275,0.019913265106229695,0.08726121122216114
G0S2,0.06375656,0.09113838,-0.51547813,0.01993719023960882,0.08732526555929503
ENSG00000233912,0.28813452,0.26538533,0.11865342,0.019944741061763457,0.08731757379443059
HSF1,0.5547072,0.59251636,-0.0951283,0.019965196060678883,0.08736635701552671
IMPA2,0.07855718,0.102903575,-0.38947368,0.020015027925568304,0.08754358601290528
CCDC66,0.47639826,0.50275403,-0.0776844,0.020078674656649417,0.08778104642529581
ENSG00000227355,0.12380068,0.15712458,-0.3438871,0.020119657109248797,0.08791924685559954
PCBD2,0.26915994,0.29754752,-0.14465582,0.02012058515789991,0.08788236962356467
ALDH2,0.1648906,0.20026666,-0.28041148,0.02017931367103825,0.08809786917714325
ATP6V0D1-DT,0.10290574,0.12610987,-0.293355,0.0202886175798717,0.08853386517877038
GCOM1,0.15166645,0.18529959,-0.28895593,0.02032529166296886,0.08865266684424632
FAM135A,0.5767242,0.55362284,0.058977902,0.02032547892382387,0.08861228776176373
MCRIP1,0.08722879,0.07751613,0.17030573,0.02039111274288868,0.08885713876162639
SPX,0.046552096,0.07022793,-0.5931885,0.020493304820927764,0.08926099620703078
ARID5B,0.7283341,0.71185815,0.033010602,0.020500095746686948,0.08924914074033269
NECTIN2,0.11513622,0.09734488,0.24216247,0.02050103908602,0.08921185004871968
EIF1,0.6190375,0.61656624,0.0057709217,0.02055411564207856,0.08940135046545251
GAS6,0.3337518,0.363964,-0.12501979,0.020560356687672723,0.08938705581267167
KIF22,0.09646369,0.12172619,-0.33557868,0.02057568262435294,0.08941225307164394
CKAP5,0.3280991,0.30754456,0.09333587,0.020653411277686204,0.08970847435520925
PIM1,0.06899753,0.047596805,0.5356705,0.020682672990663988,0.08979400185025892
NAAA,0.14997308,0.123844326,0.2761736,0.02072187179096558,0.08992257222147967
GFPT1,0.23060536,0.20772244,0.15076828,0.020766858741709273,0.09007612978026648
SLC4A3,0.502847,0.55965066,-0.15440667,0.0208010369540604,0.09018268424352803
VEZT,0.76350385,0.73442286,0.056024373,0.02080524100982968,0.09015924764629193
SPATA17,0.06564887,0.093576804,-0.51137424,0.02081728399426797,0.09016978690407298
EHBP1,0.36235917,0.3936538,-0.11950672,0.0208373691380866,0.09021513486549537
PIGK,0.10345893,0.121042565,-0.22645426,0.02087624831560894,0.09034177200048112
RHBDD1,0.27477327,0.30374494,-0.14461815,0.020996732756713498,0.09082127557560445
ZNF451-AS1,0.43438187,0.41051295,0.081535935,0.021000778586252728,0.09079691460655442
UPP2,0.045068387,0.07547058,-0.7437856,0.021059422926002314,0.09100852413254432
F5,0.08229998,0.11687976,-0.5060561,0.021088411813422418,0.09109184145190106
USP4,0.3381625,0.31430212,0.105564356,0.021141842213298314,0.09128060913261149
FBH1,0.40038866,0.44293466,-0.14569247,0.021229209904296685,0.09161566114172562
TMC6,0.15431336,0.13301659,0.21425533,0.021348143662895204,0.09208656728518749
CTR9,0.21350963,0.18858147,0.17911243,0.02137865252596929,0.0921757895214356
PLAAT3,0.22914189,0.2587482,-0.17530704,0.02138804750400922,0.09217393738291893
ICA1,0.63957036,0.6158907,0.054428697,0.02148317780321061,0.09254140227259959
NREP,0.1758398,0.2225152,-0.33964038,0.02153235777869124,0.09271068411183167
MTFR1,1.2367641,1.221854,0.017498434,0.021547327906167823,0.09273258275948006
NEMF,0.5343974,0.5273261,0.01921755,0.02158183305199705,0.09283849504531698
KLF12,0.8122014,0.85472715,-0.073626384,0.021629430297556353,0.09300060268179364
MEIS1,0.5098878,0.5735915,-0.16984338,0.021633779822321647,0.09297669367522753
CRTC3,0.678397,0.7023952,-0.050153136,0.02167078153311623,0.09309307341744343
SERINC5,0.20778745,0.22996424,-0.14630032,0.021783708643320944,0.09353535674674467
MPC1,0.88786215,0.9363205,-0.076666646,0.021790074735470587,0.0935198907448239
MFSD11,0.6085563,0.65672034,-0.109888315,0.02183747336699085,0.09368046416511575
SPATA6,0.22424404,0.2670204,-0.25187933,0.02194715117118856,0.09410793980260104
MICU1,0.5300287,0.57314295,-0.11282432,0.02195155624406956,0.09408382854356356
TRIM55,0.5761141,0.5523288,0.060827076,0.0220189293709264,0.09432949559727465
AMBRA1,0.5928021,0.5830064,0.024038851,0.02203740811573602,0.09436556957637396
PPP2R3C,0.30428454,0.27923772,0.12392688,0.022053286497618528,0.09439048080321945
TM7SF3,0.19136758,0.22944307,-0.2617886,0.022158252871853357,0.09479650179832566
TBC1D32,0.12988426,0.1687338,-0.37751985,0.022185118029921395,0.09486817564116798
ADPRHL1,1.0414377,1.0815262,-0.05449191,0.02218895822116678,0.09484136949019897
PMM2,0.1835371,0.16262186,0.17454958,0.022271358098667673,0.09515021934503648
PHC3,0.8412693,0.8244527,0.02913095,0.022308291232447593,0.09526462828530875
RAP1GAP2,0.48528418,0.5271387,-0.11935252,0.022423081791670886,0.09571126176954334
DGKH,0.32965216,0.29241735,0.1729151,0.022435935969307933,0.09572257901957573
ZNF516,0.27112514,0.23892358,0.18240917,0.02252507073959078,0.09605918803583668
YARS1,0.1873237,0.1644275,0.18808079,0.022565240683006114,0.0961867733248357
SHLD1,0.20935568,0.25386092,-0.27808118,0.02257713963942274,0.09619378932655048
SPRY4-AS1,0.27640128,0.25826833,0.09789324,0.02261369118247497,0.09630578786835232
KANSL1L,0.8454844,0.8141414,0.054498658,0.022646590381962584,0.09640213746078628
ASTN2,0.2441644,0.2814717,-0.2051363,0.022740374910330385,0.0967574591422765
SYNM,0.26361945,0.22637056,0.21976972,0.022754420006493352,0.09677333114275641
ENSG00000223930,0.16224942,0.20027918,-0.30379748,0.022951636040726683,0.09756785198645118
ARB2A,0.6661789,0.7111071,-0.09415707,0.022959963580419022,0.09755904814832031
POLM,0.11340954,0.13363484,-0.23675227,0.023136497203954786,0.09826465222612214
SYNM-AS1,0.11648226,0.102908075,0.17875242,0.02318370144258837,0.09842058232324166
PPARG,0.18730758,0.22731064,-0.27925444,0.023187481391715982,0.0983921078322385
ABR,0.45662585,0.50618654,-0.14865625,0.023270565098802855,0.09870001887747215
RARS2,0.32400718,0.3082974,0.07170284,0.02328257570713065,0.09870633767930401
SFXN1,0.30165946,0.32762185,-0.119110346,0.0233294051785287,0.09886019845752315
MT-CO1,0.9171851,0.9575377,-0.06211628,0.023411871183033516,0.09916486475811306
NEB,0.17462017,0.13764477,0.34326816,0.023465503568811653,0.09934718162571791
AGFG1,0.36022365,0.33860078,0.08930731,0.023491191513133784,0.09941107748138077
PEX14,0.51239765,0.49345425,0.054347336,0.023498201550401398,0.09939590935341114
ANKRD36,0.15349294,0.19227219,-0.32497573,0.02357010591469607,0.0996551300999002
ANKRD16,0.20301123,0.22746639,-0.16409302,0.023738697132324175,0.10032272815111055
TTTY14,1.0138202,1.0594956,-0.06357572,0.023763571676490264,0.10038263370951449
ENOX2,0.33665746,0.3207267,0.06993675,0.023769364684022385,0.10036191695116922
MYLK4,0.055932127,0.08482506,-0.6008048,0.023798777715834874,0.10044090532162069
PEBP1,0.31446734,0.33392364,-0.086607814,0.023802429709150807,0.10041114906980794
BCO2,1.0664084,1.0284886,0.05223414,0.023899923819205065,0.10077711697608176
LINC00964,0.019950535,0.052244857,-1.3888168,0.023916098601887953,0.10080001665899047
AGAP9,0.13645585,0.15186428,-0.15434742,0.02398759677025568,0.10105596448070893
FAM117A,0.065750815,0.081195585,-0.30438828,0.024017027344693048,0.10113453794789505
MICU3,0.4535922,0.48004964,-0.081787586,0.024162691397848476,0.10170227487421014
ATF3,0.09937013,0.073386736,0.4372878,0.024293371769597293,0.10220646365128333
COQ9,0.34375358,0.36699182,-0.09437299,0.024333417799106565,0.10232905683156333
SLC25A40,0.14786045,0.18193008,-0.29914594,0.02444862163256429,0.10276745885157623
CPLANE1,0.5465701,0.5917573,-0.11459881,0.02450761245603523,0.10296928798142521
STEAP2,0.04134341,0.060868546,-0.5580282,0.0245941196615485,0.10328649537361148
ENSG00000254163,0.093720995,0.11796985,-0.3319707,0.02465518639145391,0.10349662582757074
SLCO1C1,0.08189477,0.11471155,-0.48616242,0.024713498967307217,0.1036950122143454
DCAF5,0.486379,0.46514297,0.06440663,0.024739478674801838,0.10375761686499367
ENSG00000268797,0.07933434,0.08924566,-0.16983461,0.02478461070965144,0.10390045472651913
NUP88,0.28343007,0.2636405,0.10442042,0.02481087785472118,0.10396411613800542
RANBP10,0.36222214,0.33936456,0.09403849,0.02482045577262521,0.10395781966909362
SBDS,0.17361826,0.16110992,0.107872486,0.024961150992206766,0.10450045453319227
CEP162,0.10132091,0.13302149,-0.39272404,0.025133373572797615,0.10517453651203713
PTPN9,0.27170038,0.24587026,0.14411879,0.02513562575423594,0.10513706679725437
ENSG00000227914,0.08388557,0.113331124,-0.43404508,0.025202820984230795,0.10537115261767081
NBEAL1,0.86775696,0.8178676,0.08542366,0.025393067859275337,0.10611927067069987
SMARCA1,0.16933838,0.20212905,-0.25536633,0.025401703567565374,0.10610809566825394
FAM157C,0.15234789,0.17124727,-0.16871047,0.02541989231319415,0.10613681783817869
ZNF814,0.48816842,0.4675127,0.06237328,0.0255783818225303,0.1067510579443858
DDX17,1.243191,1.2716651,-0.032670796,0.025848507068140993,0.10783045500813641
TNIK,1.1104776,1.0749762,0.046875484,0.025900469381610308,0.1079992016614524
TRPC4AP,0.4572698,0.43436456,0.074139,0.02596456478792213,0.10821836820981139
ZRANB2,0.7685137,0.7687383,-0.00042164326,0.025998866885583616,0.10831321897004684
PCSK5,0.22085397,0.19800262,0.15757251,0.02609293447859976,0.1086568625291713
TSEN2,0.23171459,0.27152523,-0.2287364,0.02609968145608024,0.10863673976084508
APP,0.49958542,0.49956003,7.331371e-05,0.02617493082168479,0.10890164122795862
ENSG00000260832,0.14790852,0.17483549,-0.24129128,0.026199899944129725,0.1089572080123338
KIDINS220,0.8453662,0.8114533,0.059068277,0.0263447518790112,0.10951105987101598
ZNF780B,0.5008091,0.5363334,-0.098869145,0.02637173907019866,0.10957469262914253
CYP4V2,0.08121267,0.112893276,-0.475178,0.026400395069196718,0.10964519988455229
THSD4,2.2187142,2.243641,-0.01611793,0.02640533037231451,0.10961717236860828
ATE1,0.72778666,0.7051146,0.045657784,0.026474508361252858,0.10985574411555697
RMI1,0.10124098,0.12165908,-0.26504827,0.02659322702375681,0.11029958264230168
NUCB2,0.13973486,0.16512445,-0.24086022,0.026614990647017864,0.1103410703713308
PTAR1,0.34122482,0.3805164,-0.15723562,0.026648138721898758,0.11042969853747975
LINC00240,0.07204981,0.09936295,-0.4637077,0.02671169308101123,0.11064419624108052
TMT1A,0.06764144,0.08924265,-0.39982104,0.02684658479739718,0.11115386521146528
TSPAN9,0.77602035,0.7441938,0.060416043,0.02686924313726044,0.11119860569641705
PNISR-AS1,0.09965629,0.118161835,-0.24572921,0.026972008565981694,0.11157468446474438
TERF2,0.14521202,0.15466465,-0.09098196,0.02700458167046405,0.11166019622401661
LIX1L,0.15048052,0.11960581,0.3312869,0.02701944243958038,0.11167242685821283
UBE3D,0.11369749,0.14537707,-0.35459638,0.027200975419098064,0.11237320624481639
MRPL1,0.20385583,0.22706021,-0.15552497,0.027204833837403984,0.11233967916484339
KLHL22,0.20923507,0.2287207,-0.1284616,0.027253103932991258,0.11248949454435724
DENND2B,0.51997197,0.5626227,-0.11373377,0.027333395468800207,0.11277129124374827
CENPA,0.05814378,0.037813652,0.6207042,0.02733872319541441,0.11274369275577054
BCAT2,0.11413113,0.13558964,-0.2485528,0.02741170622360254,0.11299500342260062
MMP24,0.15134095,0.14029582,0.1093297,0.027427002995787243,0.11300840672221166
TRAF3IP2-AS1,0.33014712,0.31937742,0.047846556,0.027465641885900137,0.11311793335097238
SCARF1,0.089845374,0.115685865,-0.3646927,0.027545741929065982,0.11339804773080168
MAGT1,0.27563122,0.23535585,0.2278949,0.02755037391542085,0.11336737196249054
CTNNA3,3.3708355,3.3335154,0.016061783,0.027607475596417925,0.11355253662673957
CRNDE,0.60247743,0.58758134,0.036118567,0.027607964084593088,0.1135047848561141
IFNG-AS1,0.06815189,0.09983522,-0.5507884,0.027707526672915317,0.11386422043157753
ECT2L,0.24481192,0.2822626,-0.2053634,0.02773988366776212,0.1139472804601332
IARS1,0.2639718,0.24282983,0.12043774,0.027747487382018203,0.11392863309325811
DNAJB6,0.6115284,0.5799802,0.07641572,0.02783911823842338,0.11425485884203332
ZNF622,0.11859773,0.097685985,0.27985024,0.02784034830403879,0.11420994656252381
LIN7A,0.5227159,0.4972991,0.07191312,0.02789082135725369,0.11436699561789952
CNTN3,0.16664171,0.19614942,-0.23520207,0.02793989259048372,0.11451816176667465
LARP4B,0.6714199,0.6490638,0.048854887,0.02807491267145044,0.1150213234425974
HNRNPD,0.30740666,0.32343236,-0.07331538,0.028079621280499168,0.11496530955864856
CES2,0.18293954,0.1655887,0.14376187,0.028079621280499168,0.11496530955864856
ZBTB20-AS1,0.1821833,0.16340682,0.15692139,0.02810714307595103,0.11500271100679135
ANKRD6,0.1526879,0.19498932,-0.35280728,0.0281729422863793,0.11522168462546233
TXNDC11,0.28937215,0.27792156,0.058248162,0.028182637140746872,0.11521111183202054
BCL11A,0.35507372,0.4001645,-0.17247427,0.02823837610325547,0.11538869538359879
ENSG00000260729,0.229822,0.25923586,-0.17374778,0.02837413778304518,0.1158929737398911
ZNF684,0.18311054,0.2002703,-0.12923288,0.028397653491447482,0.11593854876273292
INO80,0.49911863,0.46493617,0.10234988,0.028398154008031515,0.11589016133247136
HIF1A-AS3,0.69560134,0.6690476,0.056151807,0.028445236513305022,0.11603182998601205
GSTCD,0.12010558,0.1414838,-0.23633194,0.028479338101394427,0.11612044766070515
UPF3A,0.6337621,0.6683346,-0.07662904,0.028523773052730666,0.11625110285869639
GCDH,0.07663085,0.09651011,-0.33275104,0.028580595998026686,0.11643211100889551
ARRDC3,0.100322604,0.12482272,-0.31523085,0.02861937188689204,0.11653947354289113
SLCO3A1,0.9940437,1.0393841,-0.064347595,0.028862876051187866,0.11748004473416249
TKT,0.099157974,0.11994655,-0.27458835,0.02890325187564955,0.11759336907950742
KAT2B,0.36166432,0.40076292,-0.14809728,0.02895716193800033,0.11776163558834811
ENSG00000250775,0.18475096,0.17378342,0.08829093,0.02900198319708923,0.1178928103791556
GAS2L1,0.15006508,0.13401484,0.16319418,0.029008609579325495,0.11786867694812983
FAM120A,0.3449074,0.39294553,-0.18811965,0.02909921563470267,0.11818564549124695
FARS2,0.6185909,0.65260434,-0.077222824,0.029167778068751565,0.11841284891433457
DNAJC1,0.5434417,0.56174403,-0.047787488,0.029252136173975263,0.11870395397242037
